Question,Answer,Source
What are the conditions for applying for a co-op or intern work permit in Canada?,"You must have a valid study permit, be required to work as part of your study program, have a letter from your school confirming the need for work placements, and your co-op or internship must be 50% or less of your study program.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html 
Who is not eligible for a co-op work permit in Canada?,"You are not eligible if you are taking ESL/FSL courses, general interest courses, or courses to prepare for another study program.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html 
What should you do if you're not eligible for a co-op work permit but want to work in Canada?,You need to apply for a work permit.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html 
How does applying for a co-op work permit online help you?,"Applying online helps avoid courier fees and mail delivery time, ensures faster processing, verifies application completeness, allows easy submission of additional documents, and provides updates on your application status.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html 
How do you apply for a co-op work permit if you have already applied for your study permit?,The application process depends on whether or not you have already applied for your study permit. You need to answer a few questions to get instructions specific to your situation.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/work/intern.html 
When should I apply to extend my study permit?,You must apply at least 30 days before your study permit expires.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
Can I extend my study permit beyond my passport’s expiry date?,"No, your study permit cannot be extended beyond your passport’s expiry date.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What happens if I apply to extend my study permit before it expires?,"If you apply before your study permit expires, you can continue to study under the same conditions until a decision is made, as long as you stay in Canada.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What happens if I finish my studies earlier than expected?,"Your study permit will expire on either the date marked on the permit or 90 days after the day you complete your studies, whichever comes first.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
When do the 90 days begin if I finish my studies earlier?,"The 90 days begin either on the date you receive the first notification from your school that you completed your program or when you get your degree, diploma, or certificate.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What if I can’t prove the date I was first notified by my school?,"If you can't prove the date, the earliest issue date on the document will be used. This may be confirmed with your school.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What happens if I finish my studies later than expected?,You must apply to extend your study permit at least 30 days before the original expiry date.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What if my school is no longer on the designated learning institution (DLI) list?,You can either keep studying until your current permit expires or transfer to another DLI.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
Do I need to be enrolled in a DLI to extend my study permit?,"Yes, you need to be enrolled at a school with DLI status to extend your study permit.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What happens if I leave Canada before or after applying for a study permit extension?,"You won’t be allowed to re-enter unless you have a valid study permit or a letter of introduction showing approval for a study permit, and a valid travel document.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What happens if I deferred my enrolment?,"If your enrolment is deferred and the DLI that issued your acceptance letter is de-designated, you cannot start studying at that school.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What should I do if I have deferred my enrolment and need to study at a new DLI?,"If you're in Canada with a valid study permit, apply to and be accepted at a new DLI and update your information in MyAccount.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
What if my study permit has been approved but not issued yet?,"If your study permit is approved but not issued, you’ll need to provide a new letter of acceptance from a new DLI and update your information in MyAccount.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/when-to-apply.html#gc-document-nav
Can I apply for a study permit at a port of entry in Canada?,Most foreign nationals already in Canada can no longer apply for a study permit at a port of entry. You must apply online for your initial study permit or your study permit extension.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Can I still apply for a study permit at a port of entry if I am outside of Canada?,"Yes, if you're outside of Canada, you may still be eligible to apply for a study permit when you arrive at a port of entry.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What happens if I leave Canada as a student on maintained status and then return?,"If you're in Canada and leave as a student on maintained status, you’ll lose your ability to study when you return. This means you can’t study until your application is approved.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Do I need a provincial attestation letter to apply for a study permit in Canada?,"If you’re applying for a study permit after entering Canada, you may need a provincial attestation letter or territorial attestation letter.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What are the new financial requirements for study permit applications?,"The financial requirements for new study permit applications have been updated for applications received on or after January 1, 2024. The new requirements also apply to study permit extensions.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Is a study permit the same as a visa?,A study permit is not a visa.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What do I need to re-enter Canada if I leave?,You need to find out what you need to re-enter Canada if you leave.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What documents do I need to apply for a study permit extension?,You will need a letter of acceptance (LOA) or a letter of enrolment from your Designated Learning Institution (DLI).,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What happens if my DLI doesn't verify my letter on time?,"If your DLI doesn’t verify your letter by the deadline, your application will be returned, and your processing fee will be refunded.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Do I need to provide a new PAL or TAL if I'm changing schools or levels of study?,"As of January 22, 2025, unless you meet an exception, you need to provide a new PAL or TAL if you're changing schools or levels of study.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What equipment do I need to apply for a study permit?,You will need a scanner or camera to create electronic copies of your documents and a valid credit or debit card.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Where can I find the instruction guide for the study permit application?,You can find the instruction guide to help you complete your application online before you begin.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Do Venezuelan passport holders need to complete extra steps to apply for a study permit?,"Yes, Venezuelan passport holders may need to complete extra steps when filling out their application.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
How do I prepare my answers for the online study permit application tool?,"You must answer some questions, and your answers will be used to create a personalized document checklist for you.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What fees do I need to pay for my study permit application?,"In most cases, your fees will include processing fees for you and anyone you include on your application. You will pay the fees at the end of your application.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
How do I create an account for my study permit application?,"You need to create an IRCC secure account to apply online to extend your study permit. Even if you applied for your initial study permit using another account, you must use the secure account for the extension.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
Can I submit my study permit extension application using a paper application?,"You must apply online to extend your study permit, but you may be eligible for an exemption that allows you to apply on paper.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/how-to-apply.html#wb-cont
What happens when my study permit expires?,"You lose your student status in Canada if your study permit expired before you applied for a new one, or if you changed the conditions of your study permit or didn’t respect its conditions.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
Can I study in Canada if my study permit expires?,"Once you lose your student status, you cannot study in Canada until your status has been restored and you have received your new study permit.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
What should I do if my study permit expires but I still want to study in Canada?,"You must apply to restore your status as a student and apply for a new study permit, submit supporting documents, and pay fees.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
How do I restore my status as a student?,"To restore your status, you need to apply for a new study permit, apply to restore your temporary resident status, submit supporting documents, and pay the restoration fee.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
Can I stay in Canada while my status restoration application is being processed?,"Yes, you can stay in Canada while your application is processed, but there’s no guarantee of approval.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
What should I include in my application to restore my status?,"You must select 'Restore my status' under section 3 of the form, include a note explaining why you need to extend your stay, and include the restoration fee.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
What happens if my temporary resident status is restored?,"You will receive a study permit outlining the conditions of your stay, and your temporary resident status will be extended until a specified date.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
Do my family members need to restore their status if they came with me to Canada?,"Yes, if your spouse, common-law partner, or dependent children came with you, they must each apply separately to restore their status and pay the restoration fee.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
Can I stay in Canada if I apply to extend my study permit before it expires?,"Yes, if you apply before your study permit expires, you are legally allowed to stay in Canada while your application is processed.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
Can I renew documents like my driver’s license or health card while my status is maintained?,"No, while your status is maintained, you cannot renew documents like your driver’s license, health card, or get a social insurance number (SIN) card.",https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
How can I make sure my documents are valid before my study permit expires?,You should ensure that your documents are valid before your study permit expires to avoid issues with maintaining status.,https://www.canada.ca/en/immigration-refugees-citizenship/services/study-canada/extend-study-permit/expired-permit.html#gc-document-nav
